realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1967-01-01,45.800
2013-08-14,2023-01-02,1967-02-01,45.900
2013-08-14,2023-01-02,1967-03-01,45.900
2013-08-14,2023-01-02,1967-04-01,46.000
2013-08-14,2023-01-02,1967-05-01,46.100
2013-08-14,2023-01-02,1967-06-01,46.200
2013-08-14,2023-01-02,1967-07-01,46.400
2013-08-14,2023-01-02,1967-08-01,46.500
2013-08-14,2023-01-02,1967-09-01,46.700
2013-08-14,2023-01-02,1967-10-01,46.800
2013-08-14,2023-01-02,1967-11-01,47.000
2013-08-14,2023-01-02,1967-12-01,47.200
2013-08-14,2023-01-02,1968-01-01,47.300
2013-08-14,2023-01-02,1968-02-01,47.500
2013-08-14,2023-01-02,1968-03-01,47.600
2013-08-14,2023-01-02,1968-04-01,47.700
2013-08-14,2023-01-02,1968-05-01,47.800
2013-08-14,2023-01-02,1968-06-01,47.900
2013-08-14,2023-01-02,1968-07-01,48.100
2013-08-14,2023-01-02,1968-08-01,48.200
2013-08-14,2023-01-02,1968-09-01,48.100
2013-08-14,2023-01-02,1968-10-01,48.500
2013-08-14,2023-01-02,1968-11-01,48.500
2013-08-14,2023-01-02,1968-12-01,48.800
2013-08-14,2023-01-02,1969-01-01,48.600
2013-08-14,2023-01-02,1969-02-01,48.800
2013-08-14,2023-01-02,1969-03-01,48.900
2013-08-14,2023-01-02,1969-04-01,49.100
2013-08-14,2023-01-02,1969-05-01,49.300
2013-08-14,2023-01-02,1969-06-01,49.600
2013-08-14,2023-01-02,1969-07-01,49.700
2013-08-14,2023-01-02,1969-08-01,49.900
2013-08-14,2023-01-02,1969-09-01,50.200
2013-08-14,2023-01-02,1969-10-01,50.500
2013-08-14,2023-01-02,1969-11-01,50.700
2013-08-14,2023-01-02,1969-12-01,50.900
2013-08-14,2023-01-02,1970-01-01,51.100
2013-08-14,2023-01-02,1970-02-01,51.300
2013-08-14,2023-01-02,1970-03-01,51.500
2013-08-14,2023-01-02,1970-04-01,51.700
2013-08-14,2023-01-02,1970-05-01,52.000
2013-08-14,2023-01-02,1970-06-01,52.000
2013-08-14,2023-01-02,1970-07-01,52.000
2013-08-14,2023-01-02,1970-08-01,52.300
2013-08-14,2023-01-02,1970-09-01,52.500
2013-08-14,2023-01-02,1970-10-01,52.700
2013-08-14,2023-01-02,1970-11-01,52.900
2013-08-14,2023-01-02,1970-12-01,53.000
2013-08-14,2023-01-02,1971-01-01,53.400
2013-08-14,2023-01-02,1971-02-01,53.500
2013-08-14,2023-01-02,1971-03-01,53.700
2013-08-14,2023-01-02,1971-04-01,53.900
2013-08-14,2023-01-02,1971-05-01,54.000
2013-08-14,2023-01-02,1971-06-01,54.200
2013-08-14,2023-01-02,1971-07-01,54.300
2013-08-14,2023-01-02,1971-08-01,54.400
2013-08-14,2023-01-02,1971-09-01,54.500
2013-08-14,2023-01-02,1971-10-01,54.600
2013-08-14,2023-01-02,1971-11-01,54.800
2013-08-14,2023-01-02,1971-12-01,54.900
2013-08-14,2023-01-02,1972-01-01,54.900
2013-08-14,2023-01-02,1972-02-01,55.000
2013-08-14,2023-01-02,1972-03-01,55.200
2013-08-14,2023-01-02,1972-04-01,55.300
2013-08-14,2023-01-02,1972-05-01,55.400
2013-08-14,2023-01-02,1972-06-01,55.300
2013-08-14,2023-01-02,1972-07-01,55.500
2013-08-14,2023-01-02,1972-08-01,55.600
2013-08-14,2023-01-02,1972-09-01,55.700
2013-08-14,2023-01-02,1972-10-01,55.700
2013-08-14,2023-01-02,1972-11-01,55.800
2013-08-14,2023-01-02,1972-12-01,55.900
2013-08-14,2023-01-02,1973-01-01,56.000
2013-08-14,2023-01-02,1973-02-01,56.200
2013-08-14,2023-01-02,1973-03-01,56.300
2013-08-14,2023-01-02,1973-04-01,56.400
2013-08-14,2023-01-02,1973-05-01,56.500
2013-08-14,2023-01-02,1973-06-01,56.700
2013-08-14,2023-01-02,1973-07-01,57.000
2013-08-14,2023-01-02,1973-08-01,56.700
2013-08-14,2023-01-02,1973-09-01,57.100
2013-08-14,2023-01-02,1973-10-01,57.300
2013-08-14,2023-01-02,1973-11-01,57.600
2013-08-14,2023-01-02,1973-12-01,58.100
2013-08-14,2023-01-02,1974-01-01,58.400
2013-08-14,2023-01-02,1974-02-01,58.700
2013-08-14,2023-01-02,1974-03-01,58.900
2013-08-14,2023-01-02,1974-04-01,59.500
2013-08-14,2023-01-02,1974-05-01,59.900
2013-08-14,2023-01-02,1974-06-01,60.300
2013-08-14,2023-01-02,1974-07-01,61.200
2013-08-14,2023-01-02,1974-08-01,62.200
2013-08-14,2023-01-02,1974-09-01,62.900
2013-08-14,2023-01-02,1974-10-01,63.400
2013-08-14,2023-01-02,1974-11-01,63.900
2013-08-14,2023-01-02,1974-12-01,64.200
2013-08-14,2023-01-02,1975-01-01,64.800
2013-08-14,2023-01-02,1975-02-01,65.300
2013-08-14,2023-01-02,1975-03-01,65.500
2013-08-14,2023-01-02,1975-04-01,65.500
2013-08-14,2023-01-02,1975-05-01,65.600
2013-08-14,2023-01-02,1975-06-01,65.700
2013-08-14,2023-01-02,1975-07-01,65.800
2013-08-14,2023-01-02,1975-08-01,66.300
2013-08-14,2023-01-02,1975-09-01,66.200
2013-08-14,2023-01-02,1975-10-01,66.400
2013-08-14,2023-01-02,1975-11-01,66.600
2013-08-14,2023-01-02,1975-12-01,66.800
2013-08-14,2023-01-02,1976-01-01,66.900
2013-08-14,2023-01-02,1976-02-01,67.000
2013-08-14,2023-01-02,1976-03-01,67.300
2013-08-14,2023-01-02,1976-04-01,67.500
2013-08-14,2023-01-02,1976-05-01,67.700
2013-08-14,2023-01-02,1976-06-01,67.900
2013-08-14,2023-01-02,1976-07-01,68.300
2013-08-14,2023-01-02,1976-08-01,68.500
2013-08-14,2023-01-02,1976-09-01,68.500
2013-08-14,2023-01-02,1976-10-01,68.800
2013-08-14,2023-01-02,1976-11-01,68.900
2013-08-14,2023-01-02,1976-12-01,69.200
2013-08-14,2023-01-02,1977-01-01,69.200
2013-08-14,2023-01-02,1977-02-01,69.000
2013-08-14,2023-01-02,1977-03-01,69.100
2013-08-14,2023-01-02,1977-04-01,69.200
2013-08-14,2023-01-02,1977-05-01,69.400
2013-08-14,2023-01-02,1977-06-01,69.700
2013-08-14,2023-01-02,1977-07-01,70.200
2013-08-14,2023-01-02,1977-08-01,70.100
2013-08-14,2023-01-02,1977-09-01,70.500
2013-08-14,2023-01-02,1977-10-01,70.700
2013-08-14,2023-01-02,1977-11-01,71.200
2013-08-14,2023-01-02,1977-12-01,71.300
2013-08-14,2023-01-02,1978-01-01,71.700
2013-08-14,2023-01-02,1978-02-01,72.100
2013-08-14,2023-01-02,1978-03-01,72.500
2013-08-14,2023-01-02,1978-04-01,73.000
2013-08-14,2023-01-02,1978-05-01,73.500
2013-08-14,2023-01-02,1978-06-01,73.800
2013-08-14,2023-01-02,1978-07-01,74.200
2013-08-14,2023-01-02,1978-08-01,74.700
2013-08-14,2023-01-02,1978-09-01,75.200
2013-08-14,2023-01-02,1978-10-01,75.700
2013-08-14,2023-01-02,1978-11-01,76.100
2013-08-14,2023-01-02,1978-12-01,76.700
2013-08-14,2023-01-02,1979-01-01,77.200
2013-08-14,2023-01-02,1979-02-01,77.800
2013-08-14,2023-01-02,1979-03-01,78.200
2013-08-14,2023-01-02,1979-04-01,78.600
2013-08-14,2023-01-02,1979-05-01,79.200
2013-08-14,2023-01-02,1979-06-01,79.600
2013-08-14,2023-01-02,1979-07-01,80.000
2013-08-14,2023-01-02,1979-08-01,80.300
2013-08-14,2023-01-02,1979-09-01,80.800
2013-08-14,2023-01-02,1979-10-01,81.700
2013-08-14,2023-01-02,1979-11-01,82.500
2013-08-14,2023-01-02,1979-12-01,83.000
2013-08-14,2023-01-02,1980-01-01,83.400
2013-08-14,2023-01-02,1980-02-01,83.700
2013-08-14,2023-01-02,1980-03-01,84.100
2013-08-14,2023-01-02,1980-04-01,85.000
2013-08-14,2023-01-02,1980-05-01,85.600
2013-08-14,2023-01-02,1980-06-01,86.200
2013-08-14,2023-01-02,1980-07-01,86.700
2013-08-14,2023-01-02,1980-08-01,87.400
2013-08-14,2023-01-02,1980-09-01,87.900
2013-08-14,2023-01-02,1980-10-01,88.400
2013-08-14,2023-01-02,1980-11-01,88.700
2013-08-14,2023-01-02,1980-12-01,89.300
2013-08-14,2023-01-02,1981-01-01,90.100
2013-08-14,2023-01-02,1981-02-01,90.800
2013-08-14,2023-01-02,1981-03-01,91.200
2013-08-14,2023-01-02,1981-04-01,91.500
2013-08-14,2023-01-02,1981-05-01,92.000
2013-08-14,2023-01-02,1981-06-01,92.400
2013-08-14,2023-01-02,1981-07-01,92.900
2013-08-14,2023-01-02,1981-08-01,93.300
2013-08-14,2023-01-02,1981-09-01,93.900
2013-08-14,2023-01-02,1981-10-01,93.500
2013-08-14,2023-01-02,1981-11-01,94.100
2013-08-14,2023-01-02,1981-12-01,94.400
2013-08-14,2023-01-02,1982-01-01,94.800
2013-08-14,2023-01-02,1982-02-01,95.200
2013-08-14,2023-01-02,1982-03-01,95.600
2013-08-14,2023-01-02,1982-04-01,95.900
2013-08-14,2023-01-02,1982-05-01,96.200
2013-08-14,2023-01-02,1982-06-01,96.400
2013-08-14,2023-01-02,1982-07-01,96.900
2013-08-14,2023-01-02,1982-08-01,97.400
2013-08-14,2023-01-02,1982-09-01,97.500
2013-08-14,2023-01-02,1982-10-01,97.600
2013-08-14,2023-01-02,1982-11-01,98.100
2013-08-14,2023-01-02,1982-12-01,98.300
2013-08-14,2023-01-02,1983-01-01,98.100
2013-08-14,2023-01-02,1983-02-01,98.900
2013-08-14,2023-01-02,1983-03-01,99.700
2013-08-14,2023-01-02,1983-04-01,100.200
2013-08-14,2023-01-02,1983-05-01,100.400
2013-08-14,2023-01-02,1983-06-01,100.600
2013-08-14,2023-01-02,1983-07-01,100.700
2013-08-14,2023-01-02,1983-08-01,100.700
2013-08-14,2023-01-02,1983-09-01,101.300
2013-08-14,2023-01-02,1983-10-01,101.500
2013-08-14,2023-01-02,1983-11-01,101.300
2013-08-14,2023-01-02,1983-12-01,101.100
2013-08-14,2023-01-02,1984-01-01,101.500
2013-08-14,2023-01-02,1984-02-01,101.900
2013-08-14,2023-01-02,1984-03-01,102.300
2013-08-14,2023-01-02,1984-04-01,102.600
2013-08-14,2023-01-02,1984-05-01,102.700
2013-08-14,2023-01-02,1984-06-01,103.100
2013-08-14,2023-01-02,1984-07-01,103.200
2013-08-14,2023-01-02,1984-08-01,103.300
2013-08-14,2023-01-02,1984-09-01,103.400
2013-08-14,2023-01-02,1984-10-01,103.900
2013-08-14,2023-01-02,1984-11-01,103.800
2013-08-14,2023-01-02,1984-12-01,103.800
2013-08-14,2023-01-02,1985-01-01,104.000
2013-08-14,2023-01-02,1985-02-01,104.700
2013-08-14,2023-01-02,1985-03-01,105.000
2013-08-14,2023-01-02,1985-04-01,105.100
2013-08-14,2023-01-02,1985-05-01,105.600
2013-08-14,2023-01-02,1985-06-01,105.600
2013-08-14,2023-01-02,1985-07-01,105.600
