realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1952-01-01,31.200
2013-08-14,2023-01-02,1952-02-01,30.700
2013-08-14,2023-01-02,1952-03-01,30.700
2013-08-14,2023-01-02,1952-04-01,30.800
2013-08-14,2023-01-02,1952-05-01,30.800
2013-08-14,2023-01-02,1952-06-01,30.600
2013-08-14,2023-01-02,1952-07-01,30.800
2013-08-14,2023-01-02,1952-08-01,30.900
2013-08-14,2023-01-02,1952-09-01,30.800
2013-08-14,2023-01-02,1952-10-01,30.800
2013-08-14,2023-01-02,1952-11-01,31.200
2013-08-14,2023-01-02,1952-12-01,30.900
2013-08-14,2023-01-02,1953-01-01,30.600
2013-08-14,2023-01-02,1953-02-01,30.200
2013-08-14,2023-01-02,1953-03-01,30.300
2013-08-14,2023-01-02,1953-04-01,30.100
2013-08-14,2023-01-02,1953-05-01,30.100
2013-08-14,2023-01-02,1953-06-01,30.400
2013-08-14,2023-01-02,1953-07-01,30.100
2013-08-14,2023-01-02,1953-08-01,30.300
2013-08-14,2023-01-02,1953-09-01,30.400
2013-08-14,2023-01-02,1953-10-01,30.400
2013-08-14,2023-01-02,1953-11-01,30.200
2013-08-14,2023-01-02,1953-12-01,30.300
2013-08-14,2023-01-02,1954-01-01,30.500
2013-08-14,2023-01-02,1954-02-01,30.400
2013-08-14,2023-01-02,1954-03-01,30.300
2013-08-14,2023-01-02,1954-04-01,30.300
2013-08-14,2023-01-02,1954-05-01,30.400
2013-08-14,2023-01-02,1954-06-01,30.200
2013-08-14,2023-01-02,1954-07-01,30.200
2013-08-14,2023-01-02,1954-08-01,30.100
2013-08-14,2023-01-02,1954-09-01,29.800
2013-08-14,2023-01-02,1954-10-01,29.800
2013-08-14,2023-01-02,1954-11-01,29.900
2013-08-14,2023-01-02,1954-12-01,29.600
2013-08-14,2023-01-02,1955-01-01,29.600
2013-08-14,2023-01-02,1955-02-01,29.800
2013-08-14,2023-01-02,1955-03-01,29.800
2013-08-14,2023-01-02,1955-04-01,29.800
2013-08-14,2023-01-02,1955-05-01,29.600
2013-08-14,2023-01-02,1955-06-01,29.400
2013-08-14,2023-01-02,1955-07-01,29.400
2013-08-14,2023-01-02,1955-08-01,29.300
2013-08-14,2023-01-02,1955-09-01,29.500
2013-08-14,2023-01-02,1955-10-01,29.400
2013-08-14,2023-01-02,1955-11-01,29.300
2013-08-14,2023-01-02,1955-12-01,29.300
2013-08-14,2023-01-02,1956-01-01,29.100
2013-08-14,2023-01-02,1956-02-01,29.100
2013-08-14,2023-01-02,1956-03-01,29.100
2013-08-14,2023-01-02,1956-04-01,29.200
2013-08-14,2023-01-02,1956-05-01,29.400
2013-08-14,2023-01-02,1956-06-01,29.900
2013-08-14,2023-01-02,1956-07-01,30.100
2013-08-14,2023-01-02,1956-08-01,29.900
2013-08-14,2023-01-02,1956-09-01,29.900
2013-08-14,2023-01-02,1956-10-01,30.000
2013-08-14,2023-01-02,1956-11-01,30.100
2013-08-14,2023-01-02,1956-12-01,30.100
2013-08-14,2023-01-02,1957-01-01,30.100
2013-08-14,2023-01-02,1957-02-01,30.400
2013-08-14,2023-01-02,1957-03-01,30.200
2013-08-14,2023-01-02,1957-04-01,30.300
2013-08-14,2023-01-02,1957-05-01,30.400
2013-08-14,2023-01-02,1957-06-01,30.600
2013-08-14,2023-01-02,1957-07-01,30.800
2013-08-14,2023-01-02,1957-08-01,31.200
2013-08-14,2023-01-02,1957-09-01,30.900
2013-08-14,2023-01-02,1957-10-01,30.800
2013-08-14,2023-01-02,1957-11-01,30.800
2013-08-14,2023-01-02,1957-12-01,30.900
2013-08-14,2023-01-02,1958-01-01,31.600
2013-08-14,2023-01-02,1958-02-01,31.800
2013-08-14,2023-01-02,1958-03-01,32.400
2013-08-14,2023-01-02,1958-04-01,32.500
2013-08-14,2023-01-02,1958-05-01,32.400
2013-08-14,2023-01-02,1958-06-01,32.200
2013-08-14,2023-01-02,1958-07-01,32.000
2013-08-14,2023-01-02,1958-08-01,32.000
2013-08-14,2023-01-02,1958-09-01,31.800
2013-08-14,2023-01-02,1958-10-01,31.700
2013-08-14,2023-01-02,1958-11-01,31.800
2013-08-14,2023-01-02,1958-12-01,31.600
2013-08-14,2023-01-02,1959-01-01,31.700
2013-08-14,2023-01-02,1959-02-01,31.400
2013-08-14,2023-01-02,1959-03-01,31.200
2013-08-14,2023-01-02,1959-04-01,31.100
2013-08-14,2023-01-02,1959-05-01,31.000
2013-08-14,2023-01-02,1959-06-01,31.200
2013-08-14,2023-01-02,1959-07-01,31.200
2013-08-14,2023-01-02,1959-08-01,31.100
2013-08-14,2023-01-02,1959-09-01,31.100
2013-08-14,2023-01-02,1959-10-01,31.200
2013-08-14,2023-01-02,1959-11-01,31.100
2013-08-14,2023-01-02,1959-12-01,31.100
2013-08-14,2023-01-02,1960-01-01,31.000
2013-08-14,2023-01-02,1960-02-01,30.900
2013-08-14,2023-01-02,1960-03-01,31.000
2013-08-14,2023-01-02,1960-04-01,31.400
2013-08-14,2023-01-02,1960-05-01,31.500
2013-08-14,2023-01-02,1960-06-01,31.500
2013-08-14,2023-01-02,1960-07-01,31.400
2013-08-14,2023-01-02,1960-08-01,31.500
2013-08-14,2023-01-02,1960-09-01,31.500
2013-08-14,2023-01-02,1960-10-01,31.800
2013-08-14,2023-01-02,1960-11-01,32.000
2013-08-14,2023-01-02,1960-12-01,32.100
2013-08-14,2023-01-02,1961-01-01,32.000
2013-08-14,2023-01-02,1961-02-01,32.000
2013-08-14,2023-01-02,1961-03-01,32.000
2013-08-14,2023-01-02,1961-04-01,31.900
2013-08-14,2023-01-02,1961-05-01,31.800
2013-08-14,2023-01-02,1961-06-01,31.600
2013-08-14,2023-01-02,1961-07-01,31.700
2013-08-14,2023-01-02,1961-08-01,31.700
2013-08-14,2023-01-02,1961-09-01,31.700
2013-08-14,2023-01-02,1961-10-01,31.700
2013-08-14,2023-01-02,1961-11-01,31.500
2013-08-14,2023-01-02,1961-12-01,31.600
2013-08-14,2023-01-02,1962-01-01,31.700
2013-08-14,2023-01-02,1962-02-01,31.900
2013-08-14,2023-01-02,1962-03-01,32.000
2013-08-14,2023-01-02,1962-04-01,32.000
2013-08-14,2023-01-02,1962-05-01,32.000
2013-08-14,2023-01-02,1962-06-01,31.900
2013-08-14,2023-01-02,1962-07-01,31.700
2013-08-14,2023-01-02,1962-08-01,31.800
2013-08-14,2023-01-02,1962-09-01,32.300
2013-08-14,2023-01-02,1962-10-01,32.200
2013-08-14,2023-01-02,1962-11-01,32.200
2013-08-14,2023-01-02,1962-12-01,32.000
2013-08-14,2023-01-02,1963-01-01,32.400
2013-08-14,2023-01-02,1963-02-01,32.400
2013-08-14,2023-01-02,1963-03-01,32.300
2013-08-14,2023-01-02,1963-04-01,32.200
2013-08-14,2023-01-02,1963-05-01,32.200
2013-08-14,2023-01-02,1963-06-01,32.300
2013-08-14,2023-01-02,1963-07-01,32.500
2013-08-14,2023-01-02,1963-08-01,32.500
2013-08-14,2023-01-02,1963-09-01,32.400
2013-08-14,2023-01-02,1963-10-01,32.300
2013-08-14,2023-01-02,1963-11-01,32.500
2013-08-14,2023-01-02,1963-12-01,32.500
2013-08-14,2023-01-02,1964-01-01,32.700
2013-08-14,2023-01-02,1964-02-01,32.600
2013-08-14,2023-01-02,1964-03-01,32.600
2013-08-14,2023-01-02,1964-04-01,32.600
2013-08-14,2023-01-02,1964-05-01,32.600
2013-08-14,2023-01-02,1964-06-01,32.700
2013-08-14,2023-01-02,1964-07-01,32.700
2013-08-14,2023-01-02,1964-08-01,32.700
2013-08-14,2023-01-02,1964-09-01,32.900
2013-08-14,2023-01-02,1964-10-01,33.000
2013-08-14,2023-01-02,1964-11-01,33.100
2013-08-14,2023-01-02,1964-12-01,33.000
2013-08-14,2023-01-02,1965-01-01,32.800
2013-08-14,2023-01-02,1965-02-01,32.800
2013-08-14,2023-01-02,1965-03-01,32.900
2013-08-14,2023-01-02,1965-04-01,33.100
2013-08-14,2023-01-02,1965-05-01,33.400
2013-08-14,2023-01-02,1965-06-01,34.000
2013-08-14,2023-01-02,1965-07-01,34.000
2013-08-14,2023-01-02,1965-08-01,33.700
2013-08-14,2023-01-02,1965-09-01,33.700
2013-08-14,2023-01-02,1965-10-01,33.800
2013-08-14,2023-01-02,1965-11-01,33.900
2013-08-14,2023-01-02,1965-12-01,34.200
2013-08-14,2023-01-02,1966-01-01,34.400
2013-08-14,2023-01-02,1966-02-01,35.000
2013-08-14,2023-01-02,1966-03-01,35.300
2013-08-14,2023-01-02,1966-04-01,35.400
2013-08-14,2023-01-02,1966-05-01,35.200
2013-08-14,2023-01-02,1966-06-01,35.100
2013-08-14,2023-01-02,1966-07-01,34.900
2013-08-14,2023-01-02,1966-08-01,35.500
2013-08-14,2023-01-02,1966-09-01,35.600
2013-08-14,2023-01-02,1966-10-01,35.600
2013-08-14,2023-01-02,1966-11-01,35.500
2013-08-14,2023-01-02,1966-12-01,35.300
2013-08-14,2023-01-02,1967-01-01,35.100
2013-08-14,2023-01-02,1967-02-01,35.000
2013-08-14,2023-01-02,1967-03-01,34.900
2013-08-14,2023-01-02,1967-04-01,34.700
2013-08-14,2023-01-02,1967-05-01,34.700
2013-08-14,2023-01-02,1967-06-01,35.000
